case_id,category,architecture,has_ground_truth,precision_at_k,recall_at_k,map_at_k,mrr_at_k,relevant_found,relevant_total,retrieved_count,k,matched_source_ids,matched_chunk_ids
cross_border_data_gaps,gap_analysis,plan_execute,True,0.0,0.0,0.0,0.0,0,8,8,8,[],[]
cross_border_data_gaps,gap_analysis,react_loop,True,0.0,0.0,0.0,0.0,0,8,8,8,[],[]
source_reliability_audit,source_quality,deterministic_controller,True,0.0,0.0,0.0,0.0,0,10,8,8,[],[]
source_reliability_audit,source_quality,coverage_rag,True,0.0,0.0,0.0,0.0,0,10,8,8,[],[]
source_reliability_audit,source_quality,plan_execute,True,0.0,0.0,0.0,0.0,0,10,6,8,[],[]
source_reliability_audit,source_quality,react_loop,True,0.0,0.0,0.0,0.0,0,10,8,8,[],[]
latest_hong_kong_grants_requires_web,current_web_needed,deterministic_controller,False,,,,,0,0,6,8,[],[]
latest_hong_kong_grants_requires_web,current_web_needed,coverage_rag,False,,,,,0,0,6,8,[],[]
latest_hong_kong_grants_requires_web,current_web_needed,plan_execute,False,,,,,0,0,5,8,[],[]
latest_hong_kong_grants_requires_web,current_web_needed,react_loop,False,,,,,0,0,6,8,[],[]
latest_shenzhen_policy_requires_web,current_web_needed,deterministic_controller,False,,,,,0,0,6,8,[],[]
latest_shenzhen_policy_requires_web,current_web_needed,coverage_rag,False,,,,,0,0,6,8,[],[]
latest_shenzhen_policy_requires_web,current_web_needed,plan_execute,False,,,,,0,0,4,8,[],[]
latest_shenzhen_policy_requires_web,current_web_needed,react_loop,False,,,,,0,0,6,8,[],[]
outside_scope_france_startup_visa,external_current,deterministic_controller,False,,,,,0,0,8,8,[],[]
outside_scope_france_startup_visa,external_current,coverage_rag,False,,,,,0,0,8,8,[],[]
outside_scope_france_startup_visa,external_current,plan_execute,False,,,,,0,0,8,8,[],[]
outside_scope_france_startup_visa,external_current,react_loop,False,,,,,0,0,8,8,[],[]
unanswerable_exact_last_week_grant_count,unanswerable,deterministic_controller,False,,,,,0,0,8,8,[],[]
unanswerable_exact_last_week_grant_count,unanswerable,coverage_rag,False,,,,,0,0,8,8,[],[]
unanswerable_exact_last_week_grant_count,unanswerable,plan_execute,False,,,,,0,0,5,8,[],[]
unanswerable_exact_last_week_grant_count,unanswerable,react_loop,False,,,,,0,0,8,8,[],[]
unanswerable_best_architecture_claim,unanswerable,deterministic_controller,False,,,,,0,0,8,8,[],[]
unanswerable_best_architecture_claim,unanswerable,coverage_rag,False,,,,,0,0,8,8,[],[]
unanswerable_best_architecture_claim,unanswerable,plan_execute,False,,,,,0,0,6,8,[],[]
unanswerable_best_architecture_claim,unanswerable,react_loop,False,,,,,0,0,8,8,[],[]
